URL,Técnica,Tamaño,AP0,AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP9
https://www.christies.com/en/lot/lot-6481032?ldp_breadcrumb=back,oil on canvas,13 5/8 x 21 7/8 in. (34.5 x 55.4 cm.),Acquired at the above sale by the present owner.,"Anonymous sale; Bruun Rasmussen, Copenhagen, 1 December 1998, lot 70.",,,,,,,,
https://www.christies.com/en/lot/lot-6481033?ldp_breadcrumb=back,oil on canvas,23 ¼ x 33 ¼ in. (59.1 x 84.5 cm.),Acquired at the above sale by the present owner.,"Their sale; Christie's, London, 16 June 1995, lot 125, as A Wooded River Landscape with Figures in Boats.",By descent to his heirs.,"Timothy Corser Eastman (1821-1893), New York, acquired in Paris circa 1873-1880.",,,,,,
https://www.christies.com/en/lot/lot-6481034?ldp_breadcrumb=back,watercolor and pencil on paper,10 3/8 x 16 1/8 in. (26.4 x 41.1 cm.),Acquired at the above sale by the present owner.,"Their sale; Kunsthallen, Copenhagen, 21 April 1999, lot 85, as Marine.","Private collection, Denmark.",,,,,,,
https://www.christies.com/en/lot/lot-6481035?ldp_breadcrumb=back,oil on panel,8 ¼ x 11 3/16 in. (21 x 28.4 cm.),Acquired at the above sale by the present owner.,"Their sale; Sotheby's, London, 24 June 1998, lot 27, as Moonlight on the Elbe.","Restituted to the Krug von Nidda family, November 1997.","Museum der bildenden Künste, Leipzig (inv. no. 1791), 1952.","The Krug von Nidda und von Falkenstein family, Schloss Frohburg, Saxony, from whom confiscated during the Russian occupation.",,,,,
https://www.christies.com/en/lot/lot-6481036?ldp_breadcrumb=back,oil on canvas,30 ½ x 40 ½ in. (77.5 x 102.9 cm),Acquired at the above sale by the present owner.,"Anonymous sale; Bruun Rasmussen, Copenhagen, 6 October 1998, lot 289.","Anonymous sale; Bruun Rasmussen, Copenhagen, 3 March 1998, lot 168.","Hans Christian Christensen, by 1910.",,,,,,
https://www.christies.com/en/lot/lot-6481037?ldp_breadcrumb=back,oil on canvas,19 ¼ x 23 ¾ in. (48.9 x 60.3 cm.),Acquired at the above sale by the present owner.,"Anonymous sale; Christie's, London, 29 March 1990, lot 124.",,,,,,,,
https://www.christies.com/en/lot/lot-6481038?ldp_breadcrumb=back,black chalk heightened with white on paper,9 1/8 x 7 ½ in. (23.3 x 19.1 cm.),Acquired directly from the above by the present owner.,"with Kunsthandel Katrin Bellinger, Munich, by 31 October 2007.","Wolfgang Ratjen Foundation, Vaduz, Liechtenstein.","Anonymous sale; Kunsthaus Lempertz, Cologne, 18 May 1996, lot 1454, as Ein von hinten gesehener sitzender Herr.","Private collection, Cologne.","with Kunstsalon Abels, Cologne.","(possibly) His estate sale; Rudolph Lepke, Berlin, 10 May 1905, lot 191, 199, 227, 232, or 234.","By descent to his heirs, until at least 1905.",The artist.,
https://www.christies.com/en/lot/lot-6481039?ldp_breadcrumb=back,oil on canvas,34 1/8 x 25 in. (86.8 x 63.5 cm.),Acquired at the above sale by the present owner.,"Anonymous sale; Bruun Rasmussen, Copenhagen, 3 September 2002, lot 1419, as Kvindelig model foran et spejl.",,,,,,,,
https://www.christies.com/en/lot/lot-6481040?ldp_breadcrumb=back,oil on canvas,22 ¾ x 29 3/8 in. (57.8 x 74.6 cm.),Acquired at the above sale by the present owner.,"Anonymous sale; Sotheby's, London, 16 June 1993, lot 91.","Anonymous sale; Sotheby's, London, 27 November 1991, lot 69.",,,,,,,
https://www.christies.com/en/lot/lot-6481041?ldp_breadcrumb=back,"gouache, oil, and pencil on paper",14 x 8 5/8 in. (35.6 x 21.9 cm.),Acquired at the above sale by the present owner.,"Anonymous sale; Sotheby's, Stockholm, 20 March 1997, lot 61.",,,,,,,,
https://www.christies.com/en/lot/lot-6481042?ldp_breadcrumb=back,oil on canvas,36 ¼ x 25 ¾ in. (92.1 x 65.4 cm.),Acquired at the above sale by the present owner.,"Anonymous sale; Sotheby's, Zurich, 9 June 1999, lot 153, as Nu avec un masque.","with Galerie Marcel Bernheim, Paris, by 1925.",,,,,,,
https://www.christies.com/en/lot/lot-6481043?ldp_breadcrumb=back,oil on canvas,34 ¼ x 25 ½ in. (87 x 64.8 cm.),Acquired after the above sale by the present owner.,"Anonymous sale; Sotheby's, New York, 29 January 2009, lot 91.",,,,,,,,
https://www.christies.com/en/lot/lot-6467326?ldp_breadcrumb=back,,,Acquired at the above sale by the present owner.,"Her estate sale; Timeline Auctions, Essex, 29 May 2022, lot 478 (£19,500 incl. premium).","Alison Barker (1851-2021), London and Chicester.",,,,,,,
https://www.christies.com/en/lot/lot-6467178?ldp_breadcrumb=back,oil on panel,28 x 17.15 in.(71 x 43.5 cm.),"Anonymous sale; Rob Michiels Auctions, Bruges, 2 February 2023, lot 1591, where acquired by the present owner.","Verlinden collection, Sint-Niklaas, Belgium.",,,,,,,,
https://www.christies.com/en/lot/lot-6467179?ldp_breadcrumb=back,oil and gold on marble,18 5⁄8 x 14 ¾ in. (47.5 x 37.5 cm.),"Private collection, Northern France, where acquired by the present owner.","Anonymous sale; Hôtel de Bullion, Paris, 26 February 1810, lot 96, as 'Jan Baptist Francken L'Adoration des Bergers. Peint sur marbre blanc.'",,,,,,,,
https://www.christies.com/en/lot/lot-6467180?ldp_breadcrumb=back,oil on panel,19 7⁄8 x 15 1⁄8 in. (50.5 x 38.3 cm.),"Anonymous sale; Van Ham, Cologne, 2 June 2021, lot 959, as 'Flemish School, c.1650'.","Private collection, Germany.","The Goudstikker collection (with wax seal on the reverse, stamped 'Collectie Goudstikker / Amsterdam').",Charles Alfred Leatham (1849-1934).,,,,,,
https://www.christies.com/en/lot/lot-6467181?ldp_breadcrumb=back,oil on panel,14 1⁄8 x 19 7⁄8 in. (36 x 50.5 cm.),"with David Koetser Gallery, Zurich, from whom acquired in 1990 by the father of the present owners.",,,,,,,,,
https://www.christies.com/en/lot/lot-6467182?ldp_breadcrumb=back,oil on panel,14 1⁄8 x 19 7⁄8 in. (36 x 50.5 cm.),"with David Koetser Gallery, Zurich, where acquired in 1990 by the father of the present owners.",,,,,,,,,
https://www.christies.com/en/lot/lot-6467183?ldp_breadcrumb=back,oil on panel,8 x 6 in. (20 x 15 cm.),"Anonymous sale; Leo Spik, Berlin, 5 June 2019, lot 128, as 'Cranach workshop', where acquired by the present owner.",,,,,,,,,
https://www.christies.com/en/lot/lot-6467184?ldp_breadcrumb=back,oil on panel,original panel: 13 ½ x 11 ¼ in. (34.3 x 28.7 cm.) panel including later extensions: 15 5⁄8 x 13 3⁄8 in (39.7 x 34 cm.),"Private collection, Brussels, acquired from the above, from whence acquired by the present owner.","Anonymous sale; Hôtel Drouot, Paris, 29 September 2023, lot 36 as Flemish school circa 1620 studio of the Peter Paul Rubens,","Private collection, France, and sold,","(Possibly) Abel-François Poisson de Vandières, marquis de Marigny de Menars (1727-1781), Hôtel de Marigny, Paris, by 1781.","(Possibly) with Matthijs Musson, Antwerp, 1640.","Sir Peter Paul Rubens, at his house and studio on the Wapper (now the Rubenshuis Museum), Antwerp, painted from the life for use in the studio, probably kept with other head studies and modelli in the master's so-called cantoor, until 1640, when possibly recorded in his posthumous inventory amongst 'A parcel of Faces made after the life, vppon bord and Cloth as well by sr Peter Rubens as van dyke'.",,,,
https://www.christies.com/en/lot/lot-6467185?ldp_breadcrumb=back,"oil on panel, unframed",9 x 12 ¼ in. (22.8 x 30.9 cm.),"Private Collection, South America, from whom acquired by the present owner.",,,,,,,,,
https://www.christies.com/en/lot/lot-6467186?ldp_breadcrumb=back,"oil on panel, circular","16 7⁄8 in. (43 cm.), diameter","with S. Nijstad, Lochem and The Hague, by 1979, when acquired by the father of the present owner.","Anonymous sale; Sotheby's, London, 23 May 1979, lot 62, as Maerten Boelema de Stomme.","Professor Francesco Spinelli, Florence, by 1965.",,,,,,,
https://www.christies.com/en/lot/lot-6467188?ldp_breadcrumb=back,oil on panel,23 ¾ x 18 ½ in. (60.5 x 47 cm.),"Anonymous sale; Sotheby's, London, 10 July 1974, lot 43, as Joos van Cleve (£22,000), where acquired by a private collector and by whom gifted on 24 April 2018 to the present owner.","with Richard L. Feigen, New York.","with Julius H. Weitzner, New York and London, and by whom sold in 1973 to the following,","Anonymous sale; Sotheby's, London, 29 November 1961, lot 105, as Jan Joest van Kalkar, where acquired by the following,","Countess Stella Kuykenstierna Andrássy (1902-1998); her sale, Kende Galleries at Gimbel Brothers, New York, 24-25 February 1950, lot 203.","Count Gyula Andrássy de Csíkszentkirály et Krasznahorka the Younger (1860-1929), Budapest, and by descent to,",,,,
https://www.christies.com/en/lot/lot-6467189?ldp_breadcrumb=back,oil on canvas,39 1⁄8 x 62 ½ in. (99.5 x 158.7 cm.),"[The Property of a Gentleman]; Sotheby's, London, 10 July 1974, lot 8, where acquired by a private collector and by whom gifted on 24 April 2018 to the present owner.","with St. James's Galleries Ltd., London.","William Herbert Smith (1930-2012), 4th Viscount Hambleden; Christie's, London, 27 November 1959, lot 26, where acquired by the following,","William Smith (1903-1948), 3rd Viscount Hambleden, by descent to his son,","William Fredrick Danvers Smith (1861-1928), 2nd Viscount Hambleden, by descent to his son,","Emily Danvers Smith (1828-1913), 1st Viscountess Hambleden, by descent to her son,","William Henry Smith, FRS (1825-1891), by descent to his widow,",,,
https://www.christies.com/en/lot/lot-6467190?ldp_breadcrumb=back,oil on canvas,61 x 89 5⁄8 in. (155 x 227.7 cm.),"Anonymous sale; Sotheby's, London, 10 July 1974, lot 37, where acquired by a private collector and by whom gifted on 24 April 2018 to the present owner.","with Heim Gallery, London, by 1966.",,,,,,,,
https://www.christies.com/en/lot/lot-6467191?ldp_breadcrumb=back,oil on canvas,25 x 19 ¼ in. (63.5 x 49 cm.),"Anonymous sale; Sotheby's, New York, 17 June 1982, lot 139, where acquired by a private collector and by whom gifted on 24 April 2018 to the present owner.",,,,,,,,,
https://www.christies.com/en/lot/lot-6467192?ldp_breadcrumb=back,oil on canvas,69 ¼ x 99 in. (176 x 251.5 cm.),"[The Property of Dr. H. Börner]; Sotheby's, London, 27 March 1974, lot 97, where acquired by a private collector and by whom gifted on 24 April 2018 to the present owner.","Dr. H. Börner, by whom sold,",,,,,,,,
https://www.christies.com/en/lot/lot-6467193?ldp_breadcrumb=back,oil on canvas,47 x 30 ¾ in. (120 x 77 cm.),"Anonymous sale; Sotheby's, New York, 21 January 1982, lot 108, as Ciro Ferri, where acquired by a private collector and by whom gifted on 24 April 2018 to the present owner.",,,,,,,,,
https://www.christies.com/en/lot/lot-6467194?ldp_breadcrumb=back,oil on canvas,48 ¾ x 38 ½ in. (123.8 x 97.7 cm.),"Anonymous sale, Sotheby's, Florence, 18 December 1976, lot 95, as Gioacchino Assereto, where acquired by a private collector and by whom gifted on 24 April 2018 to the present owner.","(Possibly) Italico Brass (1870-1943), Venice, as Gioacchino Assereto.",,,,,,,,
https://www.christies.com/en/lot/lot-6467196?ldp_breadcrumb=back,"oil on canvas, unframed",88 ¼ x 122 ¼ in. (224.2 x 310.5 cm.),"Anonymous sale; Sotheby's, New York, 13 January 1978, lot 95, where acquired by a private collector and by whom gifted on 24 April 2018 to the present owner.",,,,,,,,,
https://www.christies.com/en/lot/lot-6467197?ldp_breadcrumb=back,"oil on canvas, unframed",85 1⁄8 x 121 5⁄8 in. (216.2 x 309 cm.),"Anonymous sale; Sotheby's, New York, 13 January 1978, lot 96, where acquired by a private collector and by whom gifted on 24 April 2018 to the present owner.",,,,,,,,,
